county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,our_level,our_trend,plant_name,population_served,fetched_at
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1244,80922,2026-07-29T09:37:29Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1245,21281,2026-07-29T09:37:29Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1246,31023,2026-07-29T09:37:29Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1247,109426,2026-07-29T09:37:29Z
36007,Broome,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1254,38726,2026-07-29T09:37:29Z
36009,Cattaraugus,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1255,17760,2026-07-29T09:37:29Z
36013,Chautauqua,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1257,9379,2026-07-29T09:37:29Z
36013,Chautauqua,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1258,12616,2026-07-29T09:37:29Z
36013,Chautauqua,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1260,3365,2026-07-29T09:37:29Z
36015,Chemung,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1261,38037,2026-07-29T09:37:29Z
36015,Chemung,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1262,18085,2026-07-29T09:37:29Z
36017,Chenango,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1263,6734,2026-07-29T09:37:29Z
36019,Clinton,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1266,20893,2026-07-29T09:37:29Z
36021,Columbia,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1269,6374,2026-07-29T09:37:29Z
36023,Cortland,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1270,26950,2026-07-29T09:37:29Z
36025,Delaware,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1272,3581,2026-07-29T09:37:29Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1278,38207,2026-07-29T09:37:29Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1284,17983,2026-07-29T09:37:29Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1285,24461,2026-07-29T09:37:29Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1287,83961,2026-07-29T09:37:29Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:2561,71131,2026-07-29T09:37:29Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:2562,14742,2026-07-29T09:37:29Z
36031,Essex,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:2563,6264,2026-07-29T09:37:29Z
36033,Franklin,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1296,7175,2026-07-29T09:37:29Z
36043,Herkimer,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1304,13924,2026-07-29T09:37:29Z
36045,Jefferson,covid-19,SARS-CoV-2,2026-07-11,5.19,,,watch,stable,ID:1306,23485,2026-07-29T09:37:29Z
36045,Jefferson,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1307,4077,2026-07-29T09:37:29Z
36051,Livingston,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1314,4730,2026-07-29T09:37:29Z
36051,Livingston,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1315,15688,2026-07-29T09:37:29Z
36051,Livingston,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1317,3288,2026-07-29T09:37:29Z
36053,Madison,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1318,4843,2026-07-29T09:37:29Z
36053,Madison,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1319,4908,2026-07-29T09:37:29Z
36055,Monroe,covid-19,SARS-CoV-2,2026-07-18,1.0,,,low,stable,ID:1323,487322,2026-07-29T09:37:29Z
36057,Montgomery,covid-19,SARS-CoV-2,2026-07-11,1.0,,,low,stable,ID:1327,19679,2026-07-29T09:37:29Z
